Document,Title,Book,Author,URL,Classification,Language
1CO-1-ENGNIV.txt,1 Corinthians 1,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/1,Religious,English
1CO-1-KJBSBG.txt,1 Corintios 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/1,Religious,Kanjobal
1CO-10-ENGNIV.txt,1 Corinthians 10,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/10,Religious,English
1CO-10-KJBSBG.txt,1 Corintios 10,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/10,Religious,Kanjobal
1CO-11-ENGNIV.txt,1 Corinthians 11,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/11,Religious,English
1CO-11-KJBSBG.txt,1 Corintios 11,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/11,Religious,Kanjobal
1CO-12-ENGNIV.txt,1 Corinthians 12,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/12,Religious,English
1CO-12-KJBSBG.txt,1 Corintios 12,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/12,Religious,Kanjobal
1CO-13-ENGNIV.txt,1 Corinthians 13,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/13,Religious,English
1CO-13-KJBSBG.txt,1 Corintios 13,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/13,Religious,Kanjobal
1CO-14-ENGNIV.txt,1 Corinthians 14,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/14,Religious,English
1CO-14-KJBSBG.txt,1 Corintios 14,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/14,Religious,Kanjobal
1CO-15-ENGNIV.txt,1 Corinthians 15,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/15,Religious,English
1CO-15-KJBSBG.txt,1 Corintios 15,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/15,Religious,Kanjobal
1CO-16-ENGNIV.txt,1 Corinthians 16,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/16,Religious,English
1CO-16-KJBSBG.txt,1 Corintios 16,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/16,Religious,Kanjobal
1CO-2-ENGNIV.txt,1 Corinthians 2,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/2,Religious,English
1CO-2-KJBSBG.txt,1 Corintios 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/2,Religious,Kanjobal
1CO-3-ENGNIV.txt,1 Corinthians 3,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/3,Religious,English
1CO-3-KJBSBG.txt,1 Corintios 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/3,Religious,Kanjobal
1CO-4-ENGNIV.txt,1 Corinthians 4,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/4,Religious,English
1CO-4-KJBSBG.txt,1 Corintios 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/4,Religious,Kanjobal
1CO-5-ENGNIV.txt,1 Corinthians 5,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/5,Religious,English
1CO-5-KJBSBG.txt,1 Corintios 5,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/5,Religious,Kanjobal
1CO-6-ENGNIV.txt,1 Corinthians 6,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/6,Religious,English
1CO-6-KJBSBG.txt,1 Corintios 6,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/6,Religious,Kanjobal
1CO-7-ENGNIV.txt,1 Corinthians 7,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/7,Religious,English
1CO-7-KJBSBG.txt,1 Corintios 7,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/7,Religious,Kanjobal
1CO-8-ENGNIV.txt,1 Corinthians 8,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/8,Religious,English
1CO-8-KJBSBG.txt,1 Corintios 8,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/8,Religious,Kanjobal
1CO-9-ENGNIV.txt,1 Corinthians 9,New Testament (New International Version),,live.bible.is/ENGNIV/1CO/9,Religious,English
1CO-9-KJBSBG.txt,1 Corintios 9,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1CO/9,Religious,Kanjobal
1JN-1-ENGNIV.txt,1 John 1,New Testament (New International Version),,live.bible.is/ENGNIV/1JN/1,Religious,English
1JN-1-KJBSBG.txt,1 San Juan 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1JN/1,Religious,Kanjobal
1JN-2-ENGNIV.txt,1 John 2,New Testament (New International Version),,live.bible.is/ENGNIV/1JN/2,Religious,English
1JN-2-KJBSBG.txt,1 San Juan 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1JN/2,Religious,Kanjobal
1JN-3-ENGNIV.txt,1 John 3,New Testament (New International Version),,live.bible.is/ENGNIV/1JN/3,Religious,English
1JN-3-KJBSBG.txt,1 San Juan 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1JN/3,Religious,Kanjobal
1JN-4-ENGNIV.txt,1 John 4,New Testament (New International Version),,live.bible.is/ENGNIV/1JN/4,Religious,English
1JN-4-KJBSBG.txt,1 San Juan 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1JN/4,Religious,Kanjobal
1JN-5-ENGNIV.txt,1 John 5,New Testament (New International Version),,live.bible.is/ENGNIV/1JN/5,Religious,English
1JN-5-KJBSBG.txt,1 San Juan 5,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1JN/5,Religious,Kanjobal
1PE-1-ENGNIV.txt,1 Peter 1,New Testament (New International Version),,live.bible.is/ENGNIV/1PE/1,Religious,English
1PE-1-KJBSBG.txt,1 San Pedro 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1PE/1,Religious,Kanjobal
1PE-2-ENGNIV.txt,1 Peter 2,New Testament (New International Version),,live.bible.is/ENGNIV/1PE/2,Religious,English
1PE-2-KJBSBG.txt,1 San Pedro 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1PE/2,Religious,Kanjobal
1PE-3-ENGNIV.txt,1 Peter 3,New Testament (New International Version),,live.bible.is/ENGNIV/1PE/3,Religious,English
1PE-3-KJBSBG.txt,1 San Pedro 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1PE/3,Religious,Kanjobal
1PE-4-ENGNIV.txt,1 Peter 4,New Testament (New International Version),,live.bible.is/ENGNIV/1PE/4,Religious,English
1PE-4-KJBSBG.txt,1 San Pedro 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1PE/4,Religious,Kanjobal
1PE-5-ENGNIV.txt,1 Peter 5,New Testament (New International Version),,live.bible.is/ENGNIV/1PE/5,Religious,English
1PE-5-KJBSBG.txt,1 San Pedro 5,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1PE/5,Religious,Kanjobal
1TH-1-ENGNIV.txt,1 Thessalonians 1,New Testament (New International Version),,live.bible.is/ENGNIV/1TH/1,Religious,English
1TH-1-KJBSBG.txt,1 Tesalonicenses 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TH/1,Religious,Kanjobal
1TH-2-ENGNIV.txt,1 Thessalonians 2,New Testament (New International Version),,live.bible.is/ENGNIV/1TH/2,Religious,English
1TH-2-KJBSBG.txt,1 Tesalonicenses 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TH/2,Religious,Kanjobal
1TH-3-ENGNIV.txt,1 Thessalonians 3,New Testament (New International Version),,live.bible.is/ENGNIV/1TH/3,Religious,English
1TH-3-KJBSBG.txt,1 Tesalonicenses 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TH/3,Religious,Kanjobal
1TH-4-ENGNIV.txt,1 Thessalonians 4,New Testament (New International Version),,live.bible.is/ENGNIV/1TH/4,Religious,English
1TH-4-KJBSBG.txt,1 Tesalonicenses 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TH/4,Religious,Kanjobal
1TH-5-ENGNIV.txt,1 Thessalonians 5,New Testament (New International Version),,live.bible.is/ENGNIV/1TH/5,Religious,English
1TH-5-KJBSBG.txt,1 Tesalonicenses 5,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TH/5,Religious,Kanjobal
1TI-1-ENGNIV.txt,1 Timothy 1,New Testament (New International Version),,live.bible.is/ENGNIV/1TI/1,Religious,English
1TI-1-KJBSBG.txt,1 Timoteo 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TI/1,Religious,Kanjobal
1TI-2-ENGNIV.txt,1 Timothy 2,New Testament (New International Version),,live.bible.is/ENGNIV/1TI/2,Religious,English
1TI-2-KJBSBG.txt,1 Timoteo 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TI/2,Religious,Kanjobal
1TI-3-ENGNIV.txt,1 Timothy 3,New Testament (New International Version),,live.bible.is/ENGNIV/1TI/3,Religious,English
1TI-3-KJBSBG.txt,1 Timoteo 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TI/3,Religious,Kanjobal
1TI-4-ENGNIV.txt,1 Timothy 4,New Testament (New International Version),,live.bible.is/ENGNIV/1TI/4,Religious,English
1TI-4-KJBSBG.txt,1 Timoteo 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TI/4,Religious,Kanjobal
1TI-5-ENGNIV.txt,1 Timothy 5,New Testament (New International Version),,live.bible.is/ENGNIV/1TI/5,Religious,English
1TI-5-KJBSBG.txt,1 Timoteo 5,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TI/5,Religious,Kanjobal
1TI-6-ENGNIV.txt,1 Timothy 6,New Testament (New International Version),,live.bible.is/ENGNIV/1TI/6,Religious,English
1TI-6-KJBSBG.txt,1 Timoteo 6,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/1TI/6,Religious,Kanjobal
2CO-1-ENGNIV.txt,2 Corinthians 1,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/1,Religious,English
2CO-1-KJBSBG.txt,2 Corintios 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/1,Religious,Kanjobal
2CO-10-ENGNIV.txt,2 Corinthians 10,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/10,Religious,English
2CO-10-KJBSBG.txt,2 Corintios 10,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/10,Religious,Kanjobal
2CO-11-ENGNIV.txt,2 Corinthians 11,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/11,Religious,English
2CO-11-KJBSBG.txt,2 Corintios 11,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/11,Religious,Kanjobal
2CO-12-ENGNIV.txt,2 Corinthians 12,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/12,Religious,English
2CO-12-KJBSBG.txt,2 Corintios 12,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/12,Religious,Kanjobal
2CO-13-ENGNIV.txt,2 Corinthians 13,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/13,Religious,English
2CO-13-KJBSBG.txt,2 Corintios 13,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/13,Religious,Kanjobal
2CO-2-ENGNIV.txt,2 Corinthians 2,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/2,Religious,English
2CO-2-KJBSBG.txt,2 Corintios 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/2,Religious,Kanjobal
2CO-3-ENGNIV.txt,2 Corinthians 3,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/3,Religious,English
2CO-3-KJBSBG.txt,2 Corintios 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/3,Religious,Kanjobal
2CO-4-ENGNIV.txt,2 Corinthians 4,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/4,Religious,English
2CO-4-KJBSBG.txt,2 Corintios 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/4,Religious,Kanjobal
2CO-5-ENGNIV.txt,2 Corinthians 5,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/5,Religious,English
2CO-5-KJBSBG.txt,2 Corintios 5,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/5,Religious,Kanjobal
2CO-6-ENGNIV.txt,2 Corinthians 6,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/6,Religious,English
2CO-6-KJBSBG.txt,2 Corintios 6,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/6,Religious,Kanjobal
2CO-7-ENGNIV.txt,2 Corinthians 7,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/7,Religious,English
2CO-7-KJBSBG.txt,2 Corintios 7,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/7,Religious,Kanjobal
2CO-8-ENGNIV.txt,2 Corinthians 8,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/8,Religious,English
2CO-8-KJBSBG.txt,2 Corintios 8,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/8,Religious,Kanjobal
2CO-9-ENGNIV.txt,2 Corinthians 9,New Testament (New International Version),,live.bible.is/ENGNIV/2CO/9,Religious,English
2CO-9-KJBSBG.txt,2 Corintios 9,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2CO/9,Religious,Kanjobal
2JN-1-ENGNIV.txt,2 John 1,New Testament (New International Version),,live.bible.is/ENGNIV/2JN/1,Religious,English
2JN-1-KJBSBG.txt,2 San Juan 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2JN/1,Religious,Kanjobal
2PE-1-ENGNIV.txt,2 Peter 1,New Testament (New International Version),,live.bible.is/ENGNIV/2PE/1,Religious,English
2PE-1-KJBSBG.txt,2 San Pedro 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2PE/1,Religious,Kanjobal
2PE-2-ENGNIV.txt,2 Peter 2,New Testament (New International Version),,live.bible.is/ENGNIV/2PE/2,Religious,English
2PE-2-KJBSBG.txt,2 San Pedro 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2PE/2,Religious,Kanjobal
2PE-3-ENGNIV.txt,2 Peter 3,New Testament (New International Version),,live.bible.is/ENGNIV/2PE/3,Religious,English
2PE-3-KJBSBG.txt,2 San Pedro 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2PE/3,Religious,Kanjobal
2TH-1-ENGNIV.txt,2 Thessalonians 1,New Testament (New International Version),,live.bible.is/ENGNIV/2TH/1,Religious,English
2TH-1-KJBSBG.txt,2 Tesalonicenses 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TH/1,Religious,Kanjobal
2TH-2-ENGNIV.txt,2 Thessalonians 2,New Testament (New International Version),,live.bible.is/ENGNIV/2TH/2,Religious,English
2TH-2-KJBSBG.txt,2 Tesalonicenses 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TH/2,Religious,Kanjobal
2TH-3-ENGNIV.txt,2 Thessalonians 3,New Testament (New International Version),,live.bible.is/ENGNIV/2TH/3,Religious,English
2TH-3-KJBSBG.txt,2 Tesalonicenses 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TH/3,Religious,Kanjobal
2TI-1-ENGNIV.txt,2 Timothy 1,New Testament (New International Version),,live.bible.is/ENGNIV/2TI/1,Religious,English
2TI-1-KJBSBG.txt,2 Timoteo 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TI/1,Religious,Kanjobal
2TI-2-ENGNIV.txt,2 Timothy 2,New Testament (New International Version),,live.bible.is/ENGNIV/2TI/2,Religious,English
2TI-2-KJBSBG.txt,2 Timoteo 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TI/2,Religious,Kanjobal
2TI-3-ENGNIV.txt,2 Timothy 3,New Testament (New International Version),,live.bible.is/ENGNIV/2TI/3,Religious,English
2TI-3-KJBSBG.txt,2 Timoteo 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TI/3,Religious,Kanjobal
2TI-4-ENGNIV.txt,2 Timothy 4,New Testament (New International Version),,live.bible.is/ENGNIV/2TI/4,Religious,English
2TI-4-KJBSBG.txt,2 Timoteo 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TI/4,Religious,Kanjobal
3JN-1-ENGNIV.txt,3 John 1,New Testament (New International Version),,live.bible.is/ENGNIV/3JN/1,Religious,English
3JN-1-KJBSBG.txt,3 San Juan 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/3JN/1,Religious,Kanjobal
ACT-1-ENGNIV.txt,Acts 1,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/1,Religious,English
ACT-1-KJBSBG.txt,Hechos 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/1,Religious,Kanjobal
ACT-10-ENGNIV.txt,Acts 10,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/10,Religious,English
ACT-10-KJBSBG.txt,Hechos 10,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/10,Religious,Kanjobal
ACT-11-ENGNIV.txt,Acts 11,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/11,Religious,English
ACT-11-KJBSBG.txt,Hechos 11,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/11,Religious,Kanjobal
ACT-12-ENGNIV.txt,Acts 12,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/12,Religious,English
ACT-12-KJBSBG.txt,Hechos 12,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/12,Religious,Kanjobal
ACT-13-ENGNIV.txt,Acts 13,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/13,Religious,English
ACT-13-KJBSBG.txt,Hechos 13,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/13,Religious,Kanjobal
ACT-14-ENGNIV.txt,Acts 14,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/14,Religious,English
ACT-14-KJBSBG.txt,Hechos 14,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/14,Religious,Kanjobal
ACT-15-ENGNIV.txt,Acts 15,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/15,Religious,English
ACT-15-KJBSBG.txt,Hechos 15,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/15,Religious,Kanjobal
ACT-16-ENGNIV.txt,Acts 16,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/16,Religious,English
ACT-16-KJBSBG.txt,Hechos 16,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/16,Religious,Kanjobal
ACT-17-ENGNIV.txt,Acts 17,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/17,Religious,English
ACT-17-KJBSBG.txt,Hechos 17,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/17,Religious,Kanjobal
ACT-18-ENGNIV.txt,Acts 18,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/18,Religious,English
ACT-18-KJBSBG.txt,Hechos 18,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/18,Religious,Kanjobal
ACT-19-ENGNIV.txt,Acts 19,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/19,Religious,English
ACT-19-KJBSBG.txt,Hechos 19,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/19,Religious,Kanjobal
ACT-2-ENGNIV.txt,Acts 2,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/2,Religious,English
ACT-2-KJBSBG.txt,Hechos 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/2,Religious,Kanjobal
ACT-20-ENGNIV.txt,Acts 20,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/20,Religious,English
ACT-20-KJBSBG.txt,Hechos 20,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/20,Religious,Kanjobal
ACT-21-ENGNIV.txt,Acts 21,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/21,Religious,English
ACT-21-KJBSBG.txt,Hechos 21,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/21,Religious,Kanjobal
ACT-22-ENGNIV.txt,Acts 22,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/22,Religious,English
ACT-22-KJBSBG.txt,Hechos 22,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/22,Religious,Kanjobal
ACT-23-ENGNIV.txt,Acts 23,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/23,Religious,English
ACT-23-KJBSBG.txt,Hechos 23,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/23,Religious,Kanjobal
ACT-24-ENGNIV.txt,Acts 24,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/24,Religious,English
ACT-24-KJBSBG.txt,Hechos 24,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/24,Religious,Kanjobal
ACT-25-ENGNIV.txt,Acts 25,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/25,Religious,English
ACT-25-KJBSBG.txt,Hechos 25,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/25,Religious,Kanjobal
ACT-26-ENGNIV.txt,Acts 26,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/26,Religious,English
ACT-26-KJBSBG.txt,Hechos 26,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/26,Religious,Kanjobal
ACT-27-ENGNIV.txt,Acts 27,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/27,Religious,English
ACT-27-KJBSBG.txt,Hechos 27,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/27,Religious,Kanjobal
ACT-28-ENGNIV.txt,Acts 28,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/28,Religious,English
ACT-28-KJBSBG.txt,Hechos 28,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/28,Religious,Kanjobal
ACT-3-ENGNIV.txt,Acts 3,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/3,Religious,English
ACT-3-KJBSBG.txt,Hechos 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/3,Religious,Kanjobal
ACT-4-ENGNIV.txt,Acts 4,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/4,Religious,English
ACT-4-KJBSBG.txt,Hechos 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/4,Religious,Kanjobal
ACT-5-ENGNIV.txt,Acts 5,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/5,Religious,English
ACT-5-KJBSBG.txt,Hechos 5,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/5,Religious,Kanjobal
ACT-6-ENGNIV.txt,Acts 6,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/6,Religious,English
ACT-6-KJBSBG.txt,Hechos 6,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/6,Religious,Kanjobal
